# According to https://scriptures.nephi.org/ this is licensed under public domain
ai.sql.MormonScriptures,seed
volumeId, bookId, chapterId, verseId, volumeTitle, bookTitle, volumeLongTitle, bookLongTitle, volumeSubtitle, bookSubtitle, volumeShortTitle, bookShortTitle, volumeLdsUrl, bookLdsUrl, chapterNumber, verseNumber, scriptureText, verseTitle, verseShortTitle
1,19,489,14065,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,11,5,"The Lord trieth the righteous: but the wicked and him that loveth violence his soul hateth.","Psalms 11:5","Ps. 11:5"
1,19,489,14066,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,11,6,"Upon the wicked he shall rain snares, fire and brimstone, and an horrible tempest: this shall be the portion of their cup.","Psalms 11:6","Ps. 11:6"
1,19,489,14067,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,11,7,"For the righteous Lord loveth righteousness; his countenance doth behold the upright.","Psalms 11:7","Ps. 11:7"
1,19,490,14068,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,12,1,"Help, Lord; for the godly man ceaseth; for the faithful fail from among the children of men.","Psalms 12:1","Ps. 12:1"
1,19,490,14069,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,12,2,"They speak vanity every one with his neighbour: with flattering lips and with a double heart do they speak.","Psalms 12:2","Ps. 12:2"
1,19,490,14070,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,12,3,"The Lord shall cut off all flattering lips, and the tongue that speaketh proud things:","Psalms 12:3","Ps. 12:3"
1,19,490,14071,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,12,4,"Who have said, With our tongue will we prevail; our lips are our own: who is lord over us?","Psalms 12:4","Ps. 12:4"
1,19,490,14072,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,12,5,"For the oppression of the poor, for the sighing of the needy, now will I arise, saith the Lord; I will set him in safety from him that puffeth at him.","Psalms 12:5","Ps. 12:5"
1,19,490,14073,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,12,6,"The words of the Lord are pure words: as silver tried in a furnace of earth, purified seven times.","Psalms 12:6","Ps. 12:6"
1,19,490,14074,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,12,7,"Thou shalt keep them, O Lord, thou shalt preserve them from this generation for ever.","Psalms 12:7","Ps. 12:7"
1,19,490,14075,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,12,8,"The wicked walk on every side, when the vilest men are exalted.","Psalms 12:8","Ps. 12:8"
1,19,491,14076,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,13,1,"How long wilt thou forget me, O Lord? for ever? how long wilt thou hide thy face from me?","Psalms 13:1","Ps. 13:1"
1,19,491,14077,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,13,2,"How long shall I take counsel in my soul, having sorrow in my heart daily? how long shall mine enemy be exalted over me?","Psalms 13:2","Ps. 13:2"
1,19,491,14078,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,13,3,"Consider and hear me, O Lord my God: lighten mine eyes, lest I sleep the sleep of death;","Psalms 13:3","Ps. 13:3"
1,19,491,14079,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,13,4,"Lest mine enemy say, I have prevailed against him; and those that trouble me rejoice when I am moved.","Psalms 13:4","Ps. 13:4"
1,19,491,14080,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,13,5,"But I have trusted in thy mercy; my heart shall rejoice in thy salvation.","Psalms 13:5","Ps. 13:5"
1,19,491,14081,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,13,6,"I will sing unto the Lord, because he hath dealt bountifully with me.","Psalms 13:6","Ps. 13:6"
1,19,492,14082,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,14,1,"The fool hath said in his heart, There is no God. They are corrupt, they have done abominable works, there is none that doeth good.","Psalms 14:1","Ps. 14:1"
1,19,492,14083,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,14,2,"The Lord looked down from heaven upon the children of men, to see if there were any that did understand, and seek God.","Psalms 14:2","Ps. 14:2"
1,19,492,14084,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,14,3,"They are all gone aside, they are all together become filthy: there is none that doeth good, no, not one.","Psalms 14:3","Ps. 14:3"
